patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,5,5,0
1,0,-2,70,41,0
2,0,-2,65,40,0
3,0,-2,71,38,0
4,0,-2,58,43,0
5,0,-2,74,37,0
6,0,-2,73,39,0
7,0,-2,71,39,0
8,0,-2,74,38,0
9,0,-2,70,38,0
10,0,-2,66,38,0
11,0,-2,72,38,0
12,0,-2,73,38,0
13,0,-2,63,40,0
14,0,-2,71,39,0
15,0,-2,69,38,0
16,0,-2,71,38,0
17,0,-2,63,41,0
18,0,-2,65,50,0
19,0,-2,67,38,0
20,0,-2,70,38,0
21,0,-2,58,43,0
22,0,-2,65,38,0
23,0,-2,67,38,0
24,0,-2,68,38,0
25,0,-2,66,38,0
26,0,-2,73,37,0
27,0,-2,71,38,0
28,0,-2,73,38,0
29,0,-2,67,38,0
30,0,-2,69,38,0
31,0,-2,73,38,0
32,0,-2,67,38,0
33,0,-2,72,38,0
34,0,-2,74,38,0
35,0,-2,70,38,0
36,0,-2,68,38,0
37,0,-2,69,38,0
38,0,-2,65,38,0
39,0,-2,71,38,0
40,0,-2,74,38,0
41,0,-2,70,38,0
42,0,-2,69,38,0
43,0,-2,69,38,0
44,0,-2,69,38,0
45,0,-2,70,37,0
46,0,-2,69,38,0
47,0,-2,65,39,0
48,0,-2,67,38,0
49,0,-2,68,38,0
50,0,-2,65,38,0
51,0,-2,73,38,0
52,0,-2,61,41,0
53,0,-2,61,43,0
54,0,-2,62,43,0
55,0,-2,75,37,0
56,0,-2,58,44,0
57,0,-2,66,43,0
58,0,-2,56,45,0
59,0,-2,62,38,0
60,0,-2,65,38,0
61,0,-2,62,38,0
62,0,-2,67,44,0
63,0,-2,65,40,0
64,0,-2,68,37,0
65,0,-2,73,37,0
66,0,-2,66,37,0
67,0,-2,62,40,0
68,0,-2,63,42,0
69,0,-2,63,43,0
70,0,-2,67,41,0
71,0,-2,58,47,0
72,0,-2,61,42,0
73,0,-2,62,42,0
74,0,-2,71,39,0
75,0,-2,60,44,0
76,0,-2,68,40,0
77,0,-2,76,37,0
78,0,-2,66,43,0
79,0,-2,67,42,0
80,0,-2,65,43,0
81,0,-2,67,42,0
82,0,-2,67,42,0
83,0,-2,67,40,0
84,0,-2,66,45,0
85,0,-2,68,42,0
86,0,-2,65,42,0
87,0,-2,67,42,0
88,0,-2,65,42,0
