patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,122,85,0
0,2,0,-2,125,84,0
0,3,0,-2,126,84,0
1,3,0,-2,212,91,0
0,4,0,-2,125,85,0
2,4,0,-2,212,91,0
0,5,0,-2,123,85,0
2,5,0,-2,211,91,0
0,6,0,-2,121,85,0
3,6,0,-2,211,91,0
0,7,0,-2,125,85,0
3,7,0,-2,211,92,0
0,8,0,-2,125,85,0
4,8,0,-2,211,90,0
0,9,0,-2,125,85,0
4,9,0,-2,211,91,0
0,10,0,-2,124,84,0
5,10,0,-2,210,92,0
0,11,0,-2,125,85,0
5,11,0,-2,212,91,0
0,12,0,-2,124,84,0
6,12,0,-2,210,91,0
0,13,0,-2,122,90,1
6,13,0,-2,212,91,1
0,14,0,-2,124,90,1
7,14,0,-2,211,92,1
0,15,0,-2,122,90,1
7,15,0,-2,211,91,1
0,16,0,-2,122,90,1
8,16,0,-2,210,93,1
0,17,0,-2,125,92,1
8,17,0,-2,213,92,1
0,18,0,-2,125,98,0
9,18,0,-2,216,93,1
0,19,0,-2,127,98,0
9,19,0,-2,215,92,1
0,20,0,-2,128,97,0
10,20,0,-2,213,92,1
0,21,0,-2,126,97,0
10,21,0,-2,214,93,1
0,22,0,-2,126,97,0
11,22,0,-2,213,92,1
0,23,0,-2,127,92,1
11,23,0,-2,213,92,1
0,24,0,-2,126,92,1
12,24,0,-2,213,92,1
0,25,0,-2,123,91,1
12,25,0,-2,213,92,1
0,26,0,-2,127,92,1
13,26,0,-2,213,92,0
0,27,0,-2,125,91,1
13,27,0,-2,209,92,0
0,28,0,-2,126,92,1
14,28,0,-2,212,92,0
0,29,0,-2,127,92,1
14,29,0,-2,212,92,0
0,30,0,-2,125,91,1
15,30,0,-2,212,92,0
0,31,0,-2,125,92,1
15,31,0,-2,212,93,0
0,32,0,-2,126,92,1
16,32,0,-2,213,92,0
0,33,0,-2,124,92,1
16,33,0,-2,213,92,0
0,34,0,-2,125,91,1
17,34,0,-2,212,94,0
0,35,0,-2,126,91,1
17,35,0,-2,212,92,0
0,36,0,-2,134,98,3
18,36,0,-2,222,92,2
0,37,0,-2,130,98,3
18,37,0,-2,220,91,2
0,38,0,-2,132,104,4
19,38,0,-2,220,91,2
0,39,0,-2,130,93,3
19,39,0,-2,220,91,3
0,40,0,-2,129,93,3
20,40,0,-2,218,91,3
0,41,0,-2,131,93,3
20,41,0,-2,219,91,3
0,42,0,-2,131,93,3
21,42,0,-2,221,91,3
0,43,0,-2,131,93,3
21,43,0,-2,221,91,3
0,44,0,-2,132,93,3
22,44,0,-2,220,91,3
0,45,0,-2,131,94,3
22,45,0,-2,221,91,3
0,46,0,-2,132,93,3
23,46,0,-2,220,91,3
0,47,0,-2,132,94,3
23,47,0,-2,220,91,3
0,48,0,-2,130,93,3
24,48,0,-2,220,91,3
0,49,0,-2,131,93,3
24,49,0,-2,220,92,3
0,50,0,-2,132,93,3
25,50,0,-2,220,92,3
0,51,0,-2,132,94,3
25,51,0,-2,223,91,3
0,52,0,-2,131,94,3
26,52,0,-2,220,92,3
0,53,0,-2,129,93,3
26,53,0,-2,220,91,3
0,54,0,-2,132,95,3
27,54,0,-2,218,91,3
0,55,0,-2,131,93,3
27,55,0,-2,219,92,3
0,56,0,-2,131,93,3
28,56,0,-2,219,91,3
0,57,0,-2,132,94,3
28,57,0,-2,218,91,3
0,58,0,-2,130,93,3
29,58,0,-2,219,91,3
0,59,0,-2,131,93,3
29,59,0,-2,217,90,3
0,60,0,-2,130,94,3
30,60,0,-2,219,91,3
0,61,0,-2,131,94,3
30,61,0,-2,222,94,3
0,62,0,-2,132,94,3
31,62,0,-2,218,90,3
0,63,0,-2,130,94,3
31,63,0,-2,218,91,3
0,64,0,-2,131,93,3
32,64,0,-2,220,91,3
0,65,0,-2,128,93,3
32,65,0,-2,218,90,3
0,66,0,-2,131,95,3
33,66,0,-2,220,90,3
0,67,0,-2,131,93,3
33,67,0,-2,220,90,3
0,68,0,-2,132,93,3
34,68,0,-2,218,90,3
0,69,0,-2,131,93,3
34,69,0,-2,217,90,3
0,70,0,-2,130,93,3
35,70,0,-2,219,90,3
0,71,0,-2,130,94,3
35,71,0,-2,220,90,3
0,72,0,-2,131,93,3
36,72,0,-2,223,89,1
0,73,0,-2,131,94,3
36,73,0,-2,225,90,1
0,74,0,-2,129,93,3
37,74,0,-2,225,90,1
0,75,0,-2,132,94,3
37,75,0,-2,222,90,1
0,76,0,-2,131,93,3
38,76,0,-2,225,90,1
0,77,0,-2,130,93,3
38,77,0,-2,224,90,1
0,78,0,-2,133,93,3
39,78,0,-2,224,89,0
0,79,0,-2,129,93,3
39,79,0,-2,224,89,0
0,80,0,-2,131,93,3
40,80,0,-2,224,89,0
0,81,0,-2,132,93,3
40,81,0,-2,223,89,0
0,82,0,-2,129,93,3
41,82,0,-2,224,89,0
0,83,0,-2,131,93,3
41,83,0,-2,225,90,0
0,84,0,-2,131,94,3
42,84,0,-2,224,89,0
0,85,0,-2,130,92,3
42,85,0,-2,225,89,0
0,86,0,-2,131,93,3
43,86,0,-2,225,91,0
0,87,0,-2,130,93,3
43,87,0,-2,223,89,0
0,88,0,-2,131,95,3
44,88,0,-2,223,89,0
