patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,87,52,0
0,2,0,-2,88,53,0
0,3,0,-2,87,52,0
1,3,0,-2,145,64,0
0,4,0,-2,89,53,0
2,4,0,-2,141,64,0
0,5,0,-2,83,52,0
2,5,0,-2,146,64,0
0,6,0,-2,84,53,0
3,6,0,-2,144,64,0
0,7,0,-2,83,52,0
3,7,0,-2,145,63,0
0,8,0,-2,82,53,0
4,8,0,-2,144,64,0
0,9,0,-2,83,52,0
4,9,0,-2,144,67,0
0,10,0,-2,84,53,0
5,10,0,-2,146,65,0
0,11,0,-2,85,53,0
5,11,0,-2,146,65,0
0,12,0,-2,84,53,0
6,12,0,-2,146,67,0
0,13,0,-2,85,53,0
6,13,0,-2,147,65,0
0,14,0,-2,84,53,0
7,14,0,-2,145,65,0
0,15,0,-2,84,53,0
7,15,0,-2,147,65,0
0,16,0,-2,85,58,1
8,16,0,-2,147,64,1
0,17,0,-2,84,59,1
8,17,0,-2,147,65,1
0,18,0,-2,84,58,1
9,18,0,-2,147,65,1
0,19,0,-2,85,58,1
9,19,0,-2,148,65,1
0,20,0,-2,86,59,1
10,20,0,-2,147,65,1
0,21,0,-2,85,60,1
10,21,0,-2,148,65,1
0,22,0,-2,86,58,1
11,22,0,-2,151,65,1
0,23,0,-2,90,58,1
11,23,0,-2,147,73,1
0,24,0,-2,91,58,1
12,24,0,-2,152,65,1
0,25,0,-2,95,58,1
12,25,0,-2,152,65,1
0,26,0,-2,96,58,1
13,26,0,-2,158,66,1
0,27,0,-2,95,58,1
13,27,0,-2,153,65,1
0,28,0,-2,96,58,1
14,28,0,-2,153,65,1
0,29,0,-2,96,58,1
14,29,0,-2,151,65,1
0,30,0,-2,93,65,1
15,30,0,-2,150,65,1
0,31,0,-2,95,58,1
15,31,0,-2,152,65,1
0,32,0,-2,94,63,1
16,32,0,-2,156,65,0
0,33,0,-2,95,58,1
16,33,0,-2,153,64,0
0,34,0,-2,95,58,1
17,34,0,-2,151,66,0
0,35,0,-2,95,58,1
17,35,0,-2,152,65,0
0,36,0,-2,93,58,1
18,36,0,-2,155,64,0
0,37,0,-2,95,58,1
18,37,0,-2,152,66,0
0,38,0,-2,95,59,1
19,38,0,-2,159,64,0
0,39,0,-2,95,58,1
19,39,0,-2,153,64,0
0,40,0,-2,95,58,1
20,40,0,-2,153,72,0
0,41,0,-2,95,58,1
20,41,0,-2,154,65,0
0,42,0,-2,95,58,1
21,42,0,-2,152,69,0
0,43,0,-2,95,59,1
21,43,0,-2,154,65,0
0,44,0,-2,95,58,1
22,44,0,-2,152,64,0
0,45,0,-2,93,59,1
22,45,0,-2,150,65,0
0,46,0,-2,92,59,1
23,46,0,-2,154,65,0
0,47,0,-2,102,59,1
23,47,0,-2,156,65,0
0,48,0,-2,96,59,1
24,48,0,-2,155,65,0
0,49,0,-2,93,76,1
24,49,0,-2,154,65,0
0,50,0,-2,93,58,1
25,50,0,-2,153,65,0
0,51,0,-2,95,66,1
25,51,0,-2,152,65,0
0,52,0,-2,95,58,1
26,52,0,-2,154,65,0
0,53,0,-2,92,58,1
26,53,0,-2,158,65,0
0,54,0,-2,95,59,1
27,54,0,-2,153,64,0
0,55,0,-2,95,58,1
27,55,0,-2,159,64,0
0,56,0,-2,95,58,1
28,56,0,-2,153,65,0
0,57,0,-2,96,59,1
28,57,0,-2,161,64,0
0,58,0,-2,95,58,1
29,58,0,-2,151,63,0
0,59,0,-2,92,57,1
29,59,0,-2,148,71,0
0,60,0,-2,92,58,1
30,60,0,-2,151,64,0
0,61,0,-2,94,58,1
30,61,0,-2,152,71,0
0,62,0,-2,93,57,1
31,62,0,-2,147,65,0
0,63,0,-2,92,57,1
31,63,0,-2,151,63,0
0,64,0,-2,93,58,1
32,64,0,-2,153,64,0
0,65,0,-2,92,64,2
32,65,0,-2,151,64,1
0,66,0,-2,99,65,2
33,66,0,-2,151,64,1
0,67,0,-2,90,63,2
33,67,0,-2,151,65,1
0,68,0,-2,92,70,2
34,68,0,-2,149,64,1
0,69,0,-2,94,63,2
34,69,0,-2,151,64,1
0,70,0,-2,92,64,2
35,70,0,-2,158,64,1
0,71,0,-2,92,63,2
35,71,0,-2,151,63,1
0,72,0,-2,93,63,2
36,72,0,-2,151,64,1
0,73,0,-2,93,62,2
36,73,0,-2,151,63,1
0,74,0,-2,94,63,2
37,74,0,-2,158,64,1
0,75,0,-2,95,62,2
37,75,0,-2,150,64,1
0,76,0,-2,93,63,2
38,76,0,-2,165,66,1
0,77,0,-2,94,63,2
38,77,0,-2,151,64,1
0,78,0,-2,94,63,2
39,78,0,-2,152,64,1
0,79,0,-2,91,64,2
39,79,0,-2,151,63,1
0,80,0,-2,90,64,2
40,80,0,-2,150,65,1
0,81,0,-2,94,63,2
40,81,0,-2,152,64,1
0,82,0,-2,95,63,2
41,82,0,-2,151,63,1
0,83,0,-2,92,63,2
41,83,0,-2,151,63,1
0,84,0,-2,94,64,2
42,84,0,-2,148,63,1
0,85,0,-2,93,63,2
42,85,0,-2,151,64,1
0,86,0,-2,93,63,2
43,86,0,-2,149,63,1
0,87,0,-2,88,64,2
43,87,0,-2,151,63,1
0,88,0,-2,94,64,2
44,88,0,-2,151,63,1
