patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,116,0,-2,412,222,3
0,117,0,-2,414,223,3
0,118,0,-2,412,224,3
0,119,0,-2,412,223,3
0,120,0,-2,412,223,3
0,121,0,-2,411,222,3
0,122,0,-2,427,233,3
0,123,0,-2,412,224,3
0,124,0,-2,412,222,3
0,125,0,-2,413,223,3
0,126,0,-2,412,223,3
0,127,0,-2,411,222,3
0,128,0,-2,411,224,3
0,129,0,-2,412,222,3
0,130,0,-2,412,223,3
0,131,0,-2,413,222,3
0,132,0,-2,413,223,3
0,133,0,-2,409,223,3
0,134,0,-2,412,222,3
0,135,0,-2,413,223,3
0,136,0,-2,413,222,3
0,137,0,-2,413,223,3
0,138,0,-2,411,224,3
0,139,0,-2,409,223,3
0,140,0,-2,412,222,3
0,141,0,-2,413,222,3
0,142,0,-2,413,223,3
0,143,0,-2,412,224,3
0,144,0,-2,411,222,3
0,145,0,-2,409,222,3
0,146,0,-2,412,222,3
0,147,0,-2,412,222,3
0,148,0,-2,412,223,3
0,149,0,-2,412,222,3
0,150,0,-2,413,222,3
0,151,0,-2,411,223,3
0,152,0,-2,413,223,3
0,153,0,-2,412,230,3
0,154,0,-2,420,223,3
0,155,0,-2,413,223,3
0,156,0,-2,413,223,3
0,157,0,-2,410,222,3
0,158,0,-2,411,224,3
0,159,0,-2,412,223,3
0,160,0,-2,413,223,3
0,161,0,-2,413,223,3
0,162,0,-2,414,223,3
0,163,0,-2,410,228,3
0,164,0,-2,412,222,3
0,165,0,-2,413,222,3
0,166,0,-2,413,222,3
0,167,0,-2,413,223,3
0,168,0,-2,411,224,3
0,169,0,-2,409,222,3
0,170,0,-2,412,222,3
0,171,0,-2,412,222,3
0,172,0,-2,412,222,3
0,173,0,-2,411,223,3
0,174,0,-2,410,222,3
0,175,0,-2,410,222,3
0,176,0,-2,411,222,3
0,177,0,-2,411,223,3
0,178,0,-2,411,223,3
0,179,0,-2,411,221,3
0,180,0,-2,413,222,3
0,181,0,-2,410,222,3
0,182,0,-2,411,223,3
0,183,0,-2,411,223,3
0,184,0,-2,411,222,3
0,185,0,-2,412,222,3
0,186,0,-2,413,223,3
0,187,0,-2,409,223,3
0,188,0,-2,411,223,3
0,189,0,-2,412,224,3
0,190,0,-2,416,220,1
0,191,0,-2,415,220,1
0,192,0,-2,414,222,1
0,193,0,-2,411,221,1
0,194,0,-2,413,220,1
0,195,0,-2,414,220,1
0,196,0,-2,415,221,1
0,197,0,-2,413,222,1
0,198,0,-2,413,222,1
0,199,0,-2,410,220,1
0,200,0,-2,414,220,1
0,201,0,-2,414,220,1
0,202,0,-2,413,222,1
0,203,0,-2,413,220,1
0,204,0,-2,414,220,1
0,205,0,-2,412,220,1
0,206,0,-2,414,220,1
0,207,0,-2,413,221,1
0,208,0,-2,410,222,3
0,209,0,-2,412,223,3
0,210,0,-2,412,222,3
0,211,0,-2,409,222,3
0,212,0,-2,410,223,3
0,213,0,-2,411,222,3
0,214,0,-2,412,222,3
0,215,0,-2,412,222,3
0,216,0,-2,411,222,3
0,217,0,-2,408,223,3
0,218,0,-2,411,222,3
0,219,0,-2,411,222,3
0,220,0,-2,411,222,3
0,221,0,-2,412,222,3
0,222,0,-2,410,223,3
0,223,0,-2,408,222,3
0,224,0,-2,411,222,3
0,225,0,-2,412,222,3
0,226,0,-2,412,222,3
0,227,0,-2,410,223,3
0,228,0,-2,410,222,3
0,229,0,-2,409,222,3
0,230,0,-2,412,222,3
0,231,0,-2,410,226,3
0,232,0,-2,411,223,3
0,233,0,-2,410,222,3
0,234,0,-2,411,222,3
0,235,0,-2,409,222,3
0,236,0,-2,410,223,3
0,237,0,-2,410,223,3
0,238,0,-2,411,223,3
0,239,0,-2,411,223,3
0,240,0,-2,411,222,3
0,241,0,-2,408,223,3
0,242,0,-2,411,223,3
0,243,0,-2,417,222,3
0,244,0,-2,412,222,3
0,245,0,-2,412,222,3
0,246,0,-2,410,223,3
0,247,0,-2,409,223,3
0,248,0,-2,411,223,3
0,249,0,-2,412,223,3
0,250,0,-2,413,222,3
0,251,0,-2,411,224,3
0,252,0,-2,410,224,3
0,253,0,-2,410,222,3
0,254,0,-2,421,222,3
0,255,0,-2,411,222,3
0,256,0,-2,410,224,3
0,257,0,-2,411,223,3
0,258,0,-2,411,223,3
0,259,0,-2,412,223,3
0,260,0,-2,412,223,3
0,261,0,-2,410,224,3
0,262,0,-2,411,223,3
0,263,0,-2,412,222,3
0,264,0,-2,412,223,3
0,265,0,-2,412,222,3
0,266,0,-2,411,223,3
0,267,0,-2,411,222,3
0,268,0,-2,410,222,3
0,269,0,-2,412,222,3
0,270,0,-2,412,222,3
0,271,0,-2,411,225,3
0,272,0,-2,411,222,3
0,273,0,-2,413,223,3
0,274,0,-2,411,222,3
0,275,0,-2,412,223,3
0,276,0,-2,412,224,3
0,277,0,-2,411,222,3
0,278,0,-2,412,222,3
0,279,0,-2,412,222,3
0,280,0,-2,411,223,3
0,281,0,-2,410,224,3
0,282,0,-2,411,223,3
0,283,0,-2,411,222,3
0,284,0,-2,412,223,3
0,285,0,-2,413,223,3
0,286,0,-2,412,224,3
0,287,0,-2,410,223,3
0,288,0,-2,413,223,3
0,289,0,-2,412,223,3
0,290,0,-2,422,222,3
0,291,0,-2,411,224,3
0,292,0,-2,411,222,3
0,293,0,-2,410,223,3
0,294,0,-2,412,223,3
0,295,0,-2,412,223,3
0,296,0,-2,409,224,3
0,297,0,-2,410,222,3
0,298,0,-2,412,222,3
0,299,0,-2,412,222,3
0,300,0,-2,410,223,3
0,301,0,-2,410,224,3
0,302,0,-2,411,222,3
0,303,0,-2,411,223,3
0,304,0,-2,412,222,3
0,305,0,-2,413,223,3
0,306,0,-2,417,223,3
0,307,0,-2,411,223,3
0,308,0,-2,412,222,3
0,309,0,-2,412,223,3
0,310,0,-2,418,223,3
0,311,0,-2,412,225,3
0,312,0,-2,412,222,3
0,313,0,-2,411,222,3
0,314,0,-2,411,223,3
0,315,0,-2,411,223,3
0,316,0,-2,411,224,3
0,317,0,-2,412,222,3
0,318,0,-2,375,224,4
0,319,0,-2,375,225,4
0,320,0,-2,374,225,4
0,321,0,-2,374,224,4
0,322,0,-2,375,224,4
0,323,0,-2,374,225,4
0,324,0,-2,373,226,4
0,325,0,-2,374,225,4
0,326,0,-2,375,224,4
0,327,0,-2,375,224,4
0,328,0,-2,374,224,4
0,329,0,-2,374,223,4
0,330,0,-2,374,224,4
0,331,0,-2,375,225,4
0,332,0,-2,374,225,4
0,333,0,-2,374,224,4
0,334,0,-2,375,225,4
0,335,0,-2,375,224,4
0,336,0,-2,374,226,4
0,337,0,-2,375,223,4
0,338,0,-2,375,224,4
0,339,0,-2,376,224,4
0,340,0,-2,374,225,4
0,341,0,-2,374,224,4
0,342,0,-2,375,225,4
0,343,0,-2,376,225,4
0,344,0,-2,374,225,4
0,345,0,-2,373,224,4
0,346,0,-2,375,224,4
0,347,0,-2,376,224,4
0,348,0,-2,374,226,4
0,349,0,-2,374,225,4
0,350,0,-2,375,224,4
0,351,0,-2,375,225,4
0,352,0,-2,374,225,4
0,353,0,-2,373,224,4
0,354,0,-2,376,224,4
0,355,0,-2,375,225,4
0,356,0,-2,374,225,4
0,357,0,-2,374,224,4
0,358,0,-2,375,224,4
0,359,0,-2,376,224,4
0,360,0,-2,374,226,4
0,361,0,-2,373,224,4
0,362,0,-2,374,224,4
0,363,0,-2,376,224,4
0,364,0,-2,374,226,4
0,365,0,-2,375,226,4
0,366,0,-2,374,224,4
0,367,0,-2,375,224,4
0,368,0,-2,373,225,4
0,369,0,-2,374,225,4
0,370,0,-2,374,225,4
0,371,0,-2,375,224,4
0,372,0,-2,375,225,4
0,373,0,-2,374,225,4
0,374,0,-2,375,225,4
0,375,0,-2,375,224,4
0,376,0,-2,375,224,4
0,377,0,-2,373,225,4
0,378,0,-2,374,225,4
0,379,0,-2,376,224,4
0,380,0,-2,374,225,4
0,381,0,-2,375,226,4
0,382,0,-2,373,224,4
0,383,0,-2,375,224,4
0,384,0,-2,374,224,4
0,385,0,-2,373,225,4
0,386,0,-2,374,225,4
0,387,0,-2,376,224,4
0,388,0,-2,375,224,4
0,389,0,-2,375,225,4
0,390,0,-2,374,224,4
0,391,0,-2,374,223,4
0,392,0,-2,375,224,4
0,393,0,-2,374,225,4
0,394,0,-2,374,225,4
0,395,0,-2,375,225,4
0,396,0,-2,379,227,4
0,397,0,-2,378,228,4
0,398,0,-2,376,224,4
0,399,0,-2,374,223,4
0,400,0,-2,374,224,4
0,401,0,-2,373,225,4
0,402,0,-2,374,225,4
0,403,0,-2,376,224,4
0,404,0,-2,376,224,4
0,405,0,-2,373,225,4
0,406,0,-2,374,224,4
0,407,0,-2,375,224,4
0,408,0,-2,375,224,4
0,409,0,-2,374,225,4
0,410,0,-2,374,224,4
0,411,0,-2,376,224,4
0,412,0,-2,375,224,4
0,413,0,-2,373,225,4
0,414,0,-2,374,224,4
0,415,0,-2,375,224,4
0,416,0,-2,375,224,4
0,417,0,-2,373,225,4
0,418,0,-2,375,224,4
0,419,0,-2,376,224,4
0,420,0,-2,375,225,4
0,421,0,-2,374,225,4
0,422,0,-2,375,225,4
0,423,0,-2,376,223,4
0,424,0,-2,376,224,4
0,425,0,-2,375,225,4
0,426,0,-2,383,224,4
0,427,0,-2,375,224,4
0,428,0,-2,375,225,4
0,429,0,-2,373,225,4
0,430,0,-2,374,223,4
0,431,0,-2,375,224,4
0,432,0,-2,375,223,4
0,433,0,-2,374,225,4
0,434,0,-2,375,226,4
0,435,0,-2,375,225,4
0,436,0,-2,376,224,4
0,437,0,-2,373,225,4
0,438,0,-2,374,227,4
0,439,0,-2,374,224,4
0,440,0,-2,375,224,4
0,441,0,-2,374,224,4
0,442,0,-2,374,225,4
0,443,0,-2,392,225,4
0,444,0,-2,375,224,4
0,445,0,-2,375,224,4
0,446,0,-2,375,225,4
0,447,0,-2,374,224,4
0,448,0,-2,375,224,4
0,449,0,-2,375,225,4
0,450,0,-2,374,226,4
0,451,0,-2,374,224,4
0,452,0,-2,376,224,4
0,453,0,-2,2591,229,4
0,454,0,-2,375,223,4
0,455,0,-2,375,223,4
0,456,0,-2,375,224,4
0,457,0,-2,373,227,4
0,458,0,-2,374,223,4
0,459,0,-2,376,224,4
0,460,0,-2,375,224,4
0,461,0,-2,374,226,4
0,462,0,-2,374,224,4
0,463,0,-2,375,224,4
0,464,0,-2,375,224,4
0,465,0,-2,373,226,4
0,466,0,-2,374,225,4
0,467,0,-2,375,224,4
0,468,0,-2,376,225,4
0,469,0,-2,375,225,4
0,470,0,-2,374,224,4
0,471,0,-2,374,224,4
0,472,0,-2,381,231,4
0,473,0,-2,373,225,4
0,474,0,-2,374,224,4
0,475,0,-2,376,224,4
0,476,0,-2,375,225,4
0,477,0,-2,374,229,4
0,478,0,-2,374,224,4
0,479,0,-2,375,224,4
0,480,0,-2,381,225,4
0,481,0,-2,375,226,4
0,482,0,-2,374,226,4
0,483,0,-2,374,225,4
0,484,0,-2,376,224,4
0,485,0,-2,374,225,4
0,486,0,-2,375,225,4
0,487,0,-2,374,224,4
0,488,0,-2,376,224,4
0,489,0,-2,374,226,4
0,490,0,-2,374,226,4
0,491,0,-2,375,225,4
0,492,0,-2,375,224,4
0,493,0,-2,376,225,4
0,494,0,-2,374,225,4
0,495,0,-2,373,224,4
0,496,0,-2,375,224,4
0,497,0,-2,375,225,4
0,498,0,-2,374,226,4
0,499,0,-2,374,225,4
0,500,0,-2,374,224,4
0,501,0,-2,374,224,4
0,502,0,-2,374,225,4
0,503,0,-2,374,223,4
0,504,0,-2,375,224,4
0,505,0,-2,376,224,4
0,506,0,-2,374,225,4
0,507,0,-2,375,225,4
0,508,0,-2,375,224,4
0,509,0,-2,374,224,4
0,510,0,-2,373,225,4
0,511,0,-2,374,224,4
0,512,0,-2,374,224,4
0,513,0,-2,376,224,4
0,514,0,-2,373,225,4
0,515,0,-2,374,224,4
0,516,0,-2,375,224,4
0,517,0,-2,375,224,4
0,518,0,-2,374,224,4
0,519,0,-2,373,224,4
0,520,0,-2,376,223,4
0,521,0,-2,376,224,4
0,522,0,-2,374,226,4
0,523,0,-2,374,224,4
0,524,0,-2,375,224,4
0,525,0,-2,375,224,4
0,526,0,-2,374,225,4
0,527,0,-2,373,224,4
0,528,0,-2,375,225,4
0,529,0,-2,375,225,4
0,530,0,-2,374,225,4
0,531,0,-2,374,224,4
0,532,0,-2,375,225,4
0,533,0,-2,376,224,4
0,534,0,-2,374,225,4
0,535,0,-2,375,224,4
0,536,0,-2,375,225,4
0,537,0,-2,376,225,4
0,538,0,-2,373,225,4
0,539,0,-2,374,224,4
0,540,0,-2,374,224,4
0,541,0,-2,375,224,4
0,542,0,-2,374,224,4
0,543,0,-2,374,224,4
0,544,0,-2,375,225,4
0,545,0,-2,374,224,4
0,546,0,-2,374,226,4
0,547,0,-2,374,224,4
0,548,0,-2,375,224,4
0,549,0,-2,375,224,4
0,550,0,-2,373,225,4
0,551,0,-2,374,223,4
0,552,0,-2,375,225,4
0,553,0,-2,376,225,4
0,554,0,-2,373,225,4
0,555,0,-2,374,224,4
0,556,0,-2,375,224,4
0,557,0,-2,375,224,4
0,558,0,-2,373,224,4
0,559,0,-2,373,224,4
0,560,0,-2,375,225,4
0,561,0,-2,374,224,4
0,562,0,-2,374,227,4
0,563,0,-2,373,226,4
0,564,0,-2,374,225,4
0,565,0,-2,375,223,4
0,566,0,-2,373,225,4
0,567,0,-2,373,225,4
0,568,0,-2,376,224,4
0,569,0,-2,374,224,4
0,570,0,-2,375,226,4
0,571,0,-2,374,226,4
0,572,0,-2,374,224,4
0,573,0,-2,375,224,4
0,574,0,-2,375,224,4
0,575,0,-2,374,226,4
0,576,0,-2,375,226,4
0,577,0,-2,375,224,4
0,578,0,-2,375,225,4
0,579,0,-2,375,227,4
0,580,0,-2,373,224,4
0,581,0,-2,375,224,4
0,582,0,-2,374,224,4
0,583,0,-2,373,225,4
0,584,0,-2,374,224,4
0,585,0,-2,374,224,4
0,586,0,-2,384,224,4
0,587,0,-2,374,225,4
0,588,0,-2,374,224,4
0,589,0,-2,374,223,4
0,590,0,-2,375,223,4
0,591,0,-2,373,224,4
0,592,0,-2,374,224,4
0,593,0,-2,375,224,4
0,594,0,-2,376,224,4
0,595,0,-2,374,225,4
0,596,0,-2,375,224,4
0,597,0,-2,375,223,4
0,598,0,-2,375,223,4
0,599,0,-2,374,227,4
0,600,0,-2,382,225,4
0,601,0,-2,376,224,4
0,602,0,-2,375,224,4
0,603,0,-2,374,225,4
0,604,0,-2,374,224,4
0,605,0,-2,376,224,4
0,606,0,-2,375,224,4
0,607,0,-2,373,226,4
0,608,0,-2,374,224,4
0,609,0,-2,376,225,4
0,610,0,-2,375,224,4
0,611,0,-2,374,226,4
0,612,0,-2,374,223,4
0,613,0,-2,375,223,4
0,614,0,-2,375,224,4
0,615,0,-2,373,226,4
0,616,0,-2,374,225,4
0,617,0,-2,376,224,4
0,618,0,-2,376,224,4
0,619,0,-2,375,226,4
0,620,0,-2,375,224,4
0,621,0,-2,375,224,4
0,622,0,-2,375,224,4
0,623,0,-2,375,225,4
0,624,0,-2,375,224,4
0,625,0,-2,376,224,4
0,626,0,-2,375,225,4
0,627,0,-2,374,225,4
0,628,0,-2,374,224,4
0,629,0,-2,375,224,4
0,630,0,-2,376,224,4
0,631,0,-2,374,225,4
0,632,0,-2,373,225,4
0,633,0,-2,375,225,4
0,634,0,-2,375,224,4
0,635,0,-2,373,225,4
0,636,0,-2,374,225,4
0,637,0,-2,374,224,4
0,638,0,-2,381,224,4
0,639,0,-2,375,225,4
0,640,0,-2,375,225,4
0,641,0,-2,374,224,4
0,642,0,-2,374,225,4
0,643,0,-2,375,225,4
0,644,0,-2,374,224,4
0,645,0,-2,374,224,4
0,646,0,-2,375,223,4
0,647,0,-2,377,225,4
0,648,0,-2,373,225,4
0,649,0,-2,179,255,4
0,650,0,-2,680,653,4
0,651,0,-2,569,652,4
0,652,0,-2,568,651,4
0,653,0,-2,570,651,4
0,654,0,-2,569,653,4
0,655,0,-2,570,651,4
0,656,0,-2,571,653,4
0,657,0,-2,569,650,4
0,658,0,-2,568,657,4
0,659,0,-2,569,652,4
0,660,0,-2,569,651,4
0,661,0,-2,568,652,4
0,662,0,-2,568,652,4
0,663,0,-2,571,654,4
0,664,0,-2,568,653,4
0,665,0,-2,571,653,4
0,666,0,-2,568,659,4
0,667,0,-2,571,653,4
0,668,0,-2,569,650,4
0,669,0,-2,568,654,4
0,670,0,-2,569,651,4
0,671,0,-2,569,651,4
0,672,0,-2,568,651,4
0,673,0,-2,569,653,4
0,674,0,-2,570,652,4
0,675,0,-2,567,650,4
0,676,0,-2,570,651,4
0,677,0,-2,567,654,4
0,678,0,-2,569,653,4
0,679,0,-2,567,652,4
0,680,0,-2,570,653,4
0,681,0,-2,570,654,4
0,682,0,-2,569,652,4
0,683,0,-2,569,651,4
0,684,0,-2,569,654,4
0,685,0,-2,570,651,4
0,686,0,-2,568,653,4
0,687,0,-2,570,651,4
0,688,0,-2,570,653,4
0,689,0,-2,570,651,4
0,690,0,-2,567,651,4
0,691,0,-2,568,650,4
0,692,0,-2,568,652,4
0,693,0,-2,569,651,4
0,694,0,-2,568,651,4
0,695,0,-2,568,652,4
0,696,0,-2,568,652,4
0,697,0,-2,568,653,4
0,698,0,-2,569,653,4
0,699,0,-2,569,651,4
0,700,0,-2,569,652,4
0,701,0,-2,570,654,4
0,702,0,-2,571,652,4
0,703,0,-2,570,652,4
0,704,0,-2,570,652,4
0,705,0,-2,570,652,4
0,706,0,-2,586,682,2
0,707,0,-2,585,682,2
0,708,0,-2,587,682,2
0,709,0,-2,587,703,2
0,710,0,-2,588,682,2
0,711,0,-2,588,683,2
0,712,0,-2,585,680,2
0,713,0,-2,586,682,2
0,714,0,-2,585,681,2
0,715,0,-2,586,683,2
0,716,0,-2,588,686,2
0,717,0,-2,585,684,2
0,718,0,-2,588,684,2
0,719,0,-2,584,682,2
0,720,0,-2,586,682,2
0,721,0,-2,586,681,2
0,722,0,-2,588,681,2
0,723,0,-2,588,683,2
0,724,0,-2,587,683,2
0,725,0,-2,602,683,2
0,726,0,-2,587,682,2
0,727,0,-2,587,684,2
0,728,0,-2,586,681,2
0,729,0,-2,587,683,2
0,730,0,-2,586,683,2
0,731,0,-2,593,682,2
0,732,0,-2,586,682,2
0,733,0,-2,587,682,2
0,734,0,-2,586,682,2
0,735,0,-2,587,682,2
0,736,0,-2,587,681,2
0,737,0,-2,588,682,2
0,738,0,-2,588,683,2
0,739,0,-2,587,684,2
0,740,0,-2,587,683,2
0,741,0,-2,587,683,2
0,742,0,-2,587,681,2
0,743,0,-2,587,682,2
0,744,0,-2,584,681,2
0,745,0,-2,586,682,2
0,746,0,-2,586,687,2
0,747,0,-2,588,684,2
0,748,0,-2,588,681,2
0,749,0,-2,587,682,2
0,750,0,-2,588,682,2
0,751,0,-2,587,683,2
0,752,0,-2,586,682,2
0,753,0,-2,588,682,2
0,754,0,-2,588,684,2
0,755,0,-2,587,683,2
0,756,0,-2,586,682,2
0,757,0,-2,586,681,2
0,758,0,-2,587,680,2
0,759,0,-2,586,683,2
0,760,0,-2,586,683,2
0,761,0,-2,585,683,2
0,762,0,-2,587,682,2
0,763,0,-2,587,684,2
0,764,0,-2,587,684,2
0,765,0,-2,587,683,2
0,766,0,-2,585,684,2
0,767,0,-2,588,683,2
0,768,0,-2,585,683,2
0,769,0,-2,588,683,2
0,770,0,-2,587,682,2
0,771,0,-2,588,684,2
0,772,0,-2,587,681,2
0,773,0,-2,586,683,2
0,774,0,-2,580,711,6
0,775,0,-2,581,710,6
0,776,0,-2,581,712,6
0,777,0,-2,579,710,6
0,778,0,-2,577,711,6
0,779,0,-2,580,709,6
0,780,0,-2,579,714,6
0,781,0,-2,578,711,6
0,782,0,-2,589,722,6
0,783,0,-2,582,711,6
0,784,0,-2,590,711,6
0,785,0,-2,588,712,6
0,786,0,-2,576,711,6
0,787,0,-2,579,710,6
0,788,0,-2,580,709,6
0,789,0,-2,577,711,6
0,790,0,-2,580,710,6
0,791,0,-2,581,710,6
0,792,0,-2,580,711,6
0,793,0,-2,580,711,6
0,794,0,-2,578,712,6
0,795,0,-2,581,711,6
0,796,0,-2,579,712,6
0,797,0,-2,577,712,6
0,798,0,-2,580,711,6
0,799,0,-2,576,712,6
0,800,0,-2,578,712,6
0,801,0,-2,587,710,6
0,802,0,-2,578,710,6
0,803,0,-2,584,710,6
0,804,0,-2,578,710,6
0,805,0,-2,578,710,6
0,806,0,-2,578,712,6
0,807,0,-2,577,711,6
0,808,0,-2,577,712,6
0,809,0,-2,577,712,6
0,810,0,-2,577,711,6
0,811,0,-2,580,711,6
0,812,0,-2,577,713,6
0,813,0,-2,579,711,6
0,814,0,-2,580,711,6
0,815,0,-2,578,712,6
0,816,0,-2,582,709,6
0,817,0,-2,579,709,6
0,818,0,-2,578,711,6
0,819,0,-2,577,712,6
0,820,0,-2,577,710,6
0,821,0,-2,579,711,6
0,822,0,-2,579,711,6
0,823,0,-2,577,711,6
0,824,0,-2,580,720,6
0,825,0,-2,579,710,6
0,826,0,-2,578,708,6
0,827,0,-2,580,712,6
0,828,0,-2,577,711,6
0,829,0,-2,578,711,6
0,830,0,-2,579,710,6
0,831,0,-2,582,710,6
0,832,0,-2,580,710,6
0,833,0,-2,578,710,6
0,834,0,-2,579,711,6
0,835,0,-2,579,711,6
0,836,0,-2,577,711,6
0,837,0,-2,577,710,6
0,838,0,-2,579,709,6
0,839,0,-2,579,711,6
0,840,0,-2,578,710,6
0,841,0,-2,577,711,6
0,842,0,-2,577,712,6
0,843,0,-2,579,710,6
0,844,0,-2,580,710,6
0,845,0,-2,580,710,6
0,846,0,-2,577,711,6
0,847,0,-2,579,710,6
0,848,0,-2,579,712,6
0,849,0,-2,578,712,6
0,850,0,-2,579,713,6
0,851,0,-2,577,711,6
0,852,0,-2,582,716,6
0,853,0,-2,580,710,6
0,854,0,-2,578,711,6
0,855,0,-2,578,711,6
0,856,0,-2,582,712,6
0,857,0,-2,581,713,6
0,858,0,-2,579,711,6
0,859,0,-2,577,711,6
0,860,0,-2,580,711,6
0,861,0,-2,579,711,6
0,862,0,-2,578,710,6
0,863,0,-2,579,711,6
0,864,0,-2,579,710,6
0,865,0,-2,603,711,6
0,866,0,-2,581,725,9
0,867,0,-2,580,726,9
0,868,0,-2,582,722,9
0,869,0,-2,580,724,9
0,870,0,-2,582,725,9
0,871,0,-2,581,727,9
0,872,0,-2,582,727,9
0,873,0,-2,581,727,9
0,874,0,-2,583,727,9
0,875,0,-2,582,724,9
0,876,0,-2,581,726,9
0,877,0,-2,582,724,9
0,878,0,-2,580,728,9
0,879,0,-2,639,729,9
0,880,0,-2,603,736,9
0,881,0,-2,582,726,9
0,882,0,-2,592,727,9
0,883,0,-2,582,736,9
0,884,0,-2,581,726,9
0,885,0,-2,592,727,9
0,886,0,-2,605,738,9
0,887,0,-2,581,727,9
0,888,0,-2,594,725,9
0,889,0,-2,582,738,9
0,890,0,-2,580,725,9
0,891,0,-2,592,730,9
0,892,0,-2,588,735,9
0,893,0,-2,587,732,9
0,894,0,-2,594,725,9
0,895,0,-2,581,736,9
0,896,0,-2,582,726,9
0,897,0,-2,594,726,9
0,898,0,-2,581,736,9
0,899,0,-2,581,725,9
0,900,0,-2,594,726,9
0,901,0,-2,603,736,9
0,902,0,-2,582,727,9
0,903,0,-2,588,731,9
0,904,0,-2,582,736,9
0,905,0,-2,582,725,9
0,906,0,-2,580,735,9
0,907,0,-2,592,729,9
0,908,0,-2,593,736,9
0,909,0,-2,586,737,9
0,910,0,-2,606,726,9
0,911,0,-2,592,725,9
0,912,0,-2,581,742,9
0,913,0,-2,581,726,9
0,914,0,-2,592,726,9
0,915,0,-2,582,737,9
0,916,0,-2,593,737,9
0,917,0,-2,592,726,9
0,918,0,-2,580,737,9
0,919,0,-2,580,726,9
0,920,0,-2,592,725,9
0,921,0,-2,581,735,9
0,922,0,-2,591,727,9
0,923,0,-2,592,737,9
0,924,0,-2,580,738,9
0,925,0,-2,582,727,9
0,926,0,-2,591,726,9
0,927,0,-2,581,735,9
0,928,0,-2,582,726,9
0,929,0,-2,588,731,9
