patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,105,0,-2,252,327,6
0,106,0,-2,253,327,6
0,107,0,-2,251,327,6
0,108,0,-2,252,326,6
0,109,0,-2,251,325,6
0,110,0,-2,282,327,6
0,111,0,-2,250,326,6
0,112,0,-2,250,326,6
0,113,0,-2,284,326,6
0,114,0,-2,251,326,6
0,115,0,-2,251,327,6
0,116,0,-2,250,326,7
0,117,0,-2,252,326,7
0,118,0,-2,250,328,7
0,119,0,-2,250,326,7
0,120,0,-2,253,327,7
0,121,0,-2,250,327,7
0,122,0,-2,251,328,7
0,123,0,-2,251,326,7
0,124,0,-2,252,325,7
0,125,0,-2,250,328,7
0,126,0,-2,251,327,7
0,127,0,-2,251,326,7
0,128,0,-2,252,326,7
0,129,0,-2,250,327,7
0,130,0,-2,250,326,7
0,131,0,-2,254,326,7
0,132,0,-2,251,328,7
0,133,0,-2,250,328,7
0,134,0,-2,251,326,7
0,135,0,-2,253,327,7
0,136,0,-2,250,328,7
0,137,0,-2,251,329,7
0,138,0,-2,252,326,7
0,139,0,-2,254,327,7
0,140,0,-2,250,328,7
0,141,0,-2,250,326,7
0,142,0,-2,253,327,7
0,143,0,-2,252,327,7
0,144,0,-2,251,328,7
0,145,0,-2,252,327,7
0,146,0,-2,252,325,7
0,147,0,-2,250,328,7
0,148,0,-2,251,327,7
0,149,0,-2,252,326,7
0,150,0,-2,252,344,7
0,151,0,-2,250,327,7
0,152,0,-2,251,326,7
0,153,0,-2,251,327,7
0,154,0,-2,252,326,7
0,155,0,-2,250,328,7
0,156,0,-2,252,326,7
0,157,0,-2,252,326,7
0,158,0,-2,251,328,7
0,159,0,-2,251,327,7
0,160,0,-2,250,326,7
0,161,0,-2,253,327,7
0,162,0,-2,250,328,7
0,163,0,-2,251,326,7
0,164,0,-2,252,326,7
0,165,0,-2,253,326,7
0,166,0,-2,250,327,7
0,167,0,-2,249,326,7
0,168,0,-2,252,325,7
0,169,0,-2,252,328,7
0,170,0,-2,251,327,7
0,171,0,-2,250,326,7
0,172,0,-2,252,326,7
0,173,0,-2,250,327,7
0,174,0,-2,250,326,7
0,175,0,-2,251,327,7
0,176,0,-2,253,327,7
0,177,0,-2,252,328,7
0,178,0,-2,251,326,7
0,179,0,-2,252,326,7
0,180,0,-2,251,327,7
0,181,0,-2,250,327,7
0,182,0,-2,251,327,7
0,183,0,-2,252,326,7
0,184,0,-2,251,329,7
0,185,0,-2,253,326,7
0,186,0,-2,252,326,7
0,187,0,-2,252,325,7
0,188,0,-2,250,328,7
0,189,0,-2,252,327,7
0,190,0,-2,252,326,7
0,191,0,-2,267,328,7
0,192,0,-2,250,327,7
0,193,0,-2,252,327,7
0,194,0,-2,252,326,7
0,195,0,-2,251,328,7
0,196,0,-2,253,326,7
0,197,0,-2,252,327,7
0,198,0,-2,251,326,7
0,199,0,-2,251,328,7
0,200,0,-2,252,326,7
0,201,0,-2,252,326,7
0,202,0,-2,250,328,7
0,203,0,-2,251,328,7
0,204,0,-2,251,326,7
0,205,0,-2,348,327,8
0,206,0,-2,348,327,8
0,207,0,-2,347,328,8
0,208,0,-2,346,329,8
0,209,0,-2,345,328,8
0,210,0,-2,346,327,8
0,211,0,-2,348,327,8
0,212,0,-2,347,332,8
0,213,0,-2,351,327,8
0,214,0,-2,347,328,8
0,215,0,-2,345,328,8
0,216,0,-2,347,327,8
0,217,0,-2,348,328,8
0,218,0,-2,350,328,8
0,219,0,-2,347,328,8
0,220,0,-2,346,329,8
0,221,0,-2,345,329,8
0,222,0,-2,347,328,8
0,223,0,-2,347,327,8
0,224,0,-2,348,328,8
0,225,0,-2,347,328,8
0,226,0,-2,348,327,8
0,227,0,-2,345,339,8
0,228,0,-2,354,329,8
0,229,0,-2,347,329,8
0,230,0,-2,346,328,8
0,231,0,-2,347,328,8
0,232,0,-2,347,327,8
0,233,0,-2,349,328,8
0,234,0,-2,345,328,8
0,235,0,-2,348,329,8
0,236,0,-2,346,327,8
0,237,0,-2,348,327,8
0,238,0,-2,347,327,8
0,239,0,-2,349,327,8
0,240,0,-2,346,328,8
0,241,0,-2,347,329,8
0,242,0,-2,346,328,8
0,243,0,-2,348,328,8
0,244,0,-2,347,328,8
0,245,0,-2,348,328,8
0,246,0,-2,347,329,8
0,247,0,-2,347,329,8
0,248,0,-2,346,329,8
0,249,0,-2,346,328,8
0,250,0,-2,348,327,8
0,251,0,-2,346,327,8
0,252,0,-2,347,326,8
0,253,0,-2,345,328,8
0,254,0,-2,346,329,8
0,255,0,-2,346,328,8
0,256,0,-2,347,326,8
0,257,0,-2,348,327,8
0,258,0,-2,347,328,8
0,259,0,-2,352,329,8
0,260,0,-2,347,328,8
0,261,0,-2,347,329,8
0,262,0,-2,347,347,8
0,263,0,-2,347,327,8
0,264,0,-2,349,328,8
0,265,0,-2,347,328,8
0,266,0,-2,347,327,8
0,267,0,-2,346,329,8
0,268,0,-2,347,329,8
0,269,0,-2,346,328,8
0,270,0,-2,347,327,8
0,271,0,-2,347,327,8
0,272,0,-2,347,327,8
0,273,0,-2,348,329,8
0,274,0,-2,347,330,8
0,275,0,-2,347,329,8
0,276,0,-2,346,327,8
0,277,0,-2,349,327,8
0,278,0,-2,348,327,8
0,279,0,-2,348,327,8
0,280,0,-2,347,329,8
0,281,0,-2,346,329,8
0,282,0,-2,346,328,8
0,283,0,-2,348,328,8
0,284,0,-2,347,327,8
0,285,0,-2,349,328,8
0,286,0,-2,345,329,8
0,287,0,-2,346,327,8
0,288,0,-2,346,328,8
0,289,0,-2,347,326,8
0,290,0,-2,347,328,8
0,291,0,-2,348,326,8
0,292,0,-2,347,328,8
0,293,0,-2,346,328,8
0,294,0,-2,347,330,8
0,295,0,-2,347,328,8
0,296,0,-2,347,327,8
0,297,0,-2,347,352,8
0,298,0,-2,348,328,8
0,299,0,-2,349,328,8
0,300,0,-2,348,328,8
0,301,0,-2,346,329,8
0,302,0,-2,347,328,8
0,303,0,-2,345,326,8
0,304,0,-2,348,327,8
0,305,0,-2,349,328,8
0,306,0,-2,348,330,8
0,307,0,-2,348,328,8
0,308,0,-2,346,329,8
0,309,0,-2,346,327,8
0,310,0,-2,351,328,8
0,311,0,-2,347,326,8
0,312,0,-2,347,327,8
0,313,0,-2,346,328,8
0,314,0,-2,347,328,8
0,315,0,-2,346,328,8
0,316,0,-2,346,327,8
0,317,0,-2,348,326,8
0,318,0,-2,347,326,8
0,319,0,-2,347,328,8
0,320,0,-2,345,329,8
0,321,0,-2,347,328,8
0,322,0,-2,346,327,8
0,323,0,-2,348,328,8
0,324,0,-2,347,327,8
0,325,0,-2,348,327,8
0,326,0,-2,345,328,8
0,327,0,-2,348,329,8
0,328,0,-2,346,329,8
0,329,0,-2,347,327,8
0,330,0,-2,346,327,8
0,331,0,-2,346,327,8
0,332,0,-2,372,327,8
0,333,0,-2,347,329,8
0,334,0,-2,347,329,8
0,335,0,-2,346,328,8
0,336,0,-2,346,327,8
0,337,0,-2,348,327,8
0,338,0,-2,349,327,8
0,339,0,-2,346,329,8
0,340,0,-2,346,329,8
0,341,0,-2,347,329,8
0,342,0,-2,348,328,8
0,343,0,-2,348,327,8
0,344,0,-2,348,327,8
0,345,0,-2,348,327,8
0,346,0,-2,346,328,8
0,347,0,-2,346,329,8
0,348,0,-2,346,328,8
0,349,0,-2,348,327,8
0,350,0,-2,348,327,8
0,351,0,-2,347,328,8
0,352,0,-2,347,327,8
0,353,0,-2,348,327,8
0,354,0,-2,346,328,8
0,355,0,-2,346,326,8
0,356,0,-2,347,327,8
0,357,0,-2,348,328,8
0,358,0,-2,347,327,8
0,359,0,-2,345,329,8
0,360,0,-2,347,328,8
0,361,0,-2,346,327,8
0,362,0,-2,346,328,8
0,363,0,-2,347,327,8
0,364,0,-2,346,326,8
0,365,0,-2,350,328,8
0,366,0,-2,346,329,8
0,367,0,-2,377,329,8
0,368,0,-2,345,327,8
0,369,0,-2,347,327,8
0,370,0,-2,349,327,8
0,371,0,-2,347,326,8
0,372,0,-2,347,328,8
0,373,0,-2,347,329,8
0,374,0,-2,347,329,8
0,375,0,-2,345,328,8
0,376,0,-2,348,327,8
0,377,0,-2,348,327,8
0,378,0,-2,348,327,8
0,379,0,-2,346,328,8
0,380,0,-2,347,329,8
0,381,0,-2,348,328,8
0,382,0,-2,347,328,8
0,383,0,-2,347,327,8
0,384,0,-2,349,328,8
0,385,0,-2,346,327,8
0,386,0,-2,347,329,8
0,387,0,-2,347,329,8
0,388,0,-2,347,327,8
0,389,0,-2,346,328,8
0,390,0,-2,348,327,8
0,391,0,-2,349,327,8
0,392,0,-2,346,328,8
0,393,0,-2,346,328,8
0,394,0,-2,346,329,8
0,395,0,-2,348,327,8
0,396,0,-2,348,327,8
0,397,0,-2,348,328,8
0,398,0,-2,349,328,8
0,399,0,-2,348,329,8
0,400,0,-2,346,329,8
0,401,0,-2,346,341,8
0,402,0,-2,356,327,8
0,403,0,-2,350,328,8
0,404,0,-2,346,327,8
0,405,0,-2,348,327,8
0,406,0,-2,349,328,8
0,407,0,-2,350,331,8
0,408,0,-2,347,326,8
0,409,0,-2,348,327,8
0,410,0,-2,348,327,8
0,411,0,-2,348,328,8
0,412,0,-2,347,328,8
0,413,0,-2,347,328,8
0,414,0,-2,348,328,8
0,415,0,-2,346,327,8
0,416,0,-2,348,327,8
0,417,0,-2,348,327,8
0,418,0,-2,347,327,8
0,419,0,-2,348,328,8
0,420,0,-2,346,329,8
0,421,0,-2,347,328,8
0,422,0,-2,347,327,8
0,423,0,-2,355,327,8
0,424,0,-2,350,327,8
0,425,0,-2,347,327,8
0,426,0,-2,347,328,8
0,427,0,-2,346,328,8
0,428,0,-2,347,327,8
0,429,0,-2,348,327,8
0,430,0,-2,348,327,8
0,431,0,-2,347,328,8
0,432,0,-2,346,329,8
0,433,0,-2,346,329,8
0,434,0,-2,347,328,8
0,435,0,-2,347,327,8
0,436,0,-2,350,355,8
0,437,0,-2,346,328,8
0,438,0,-2,348,327,8
0,439,0,-2,347,328,8
0,440,0,-2,347,329,8
0,441,0,-2,346,328,8
0,442,0,-2,346,327,8
0,443,0,-2,347,327,8
0,444,0,-2,347,328,8
0,445,0,-2,349,328,8
0,446,0,-2,346,329,8
0,447,0,-2,347,329,8
0,448,0,-2,345,326,8
0,449,0,-2,348,328,8
0,450,0,-2,347,328,8
0,451,0,-2,350,328,8
0,452,0,-2,346,328,8
0,453,0,-2,347,329,8
0,454,0,-2,346,328,8
0,455,0,-2,347,328,8
0,456,0,-2,347,328,8
0,457,0,-2,347,328,8
0,458,0,-2,348,327,8
0,459,0,-2,347,329,8
0,460,0,-2,346,329,8
0,461,0,-2,347,327,8
0,462,0,-2,347,327,8
0,463,0,-2,349,328,8
0,464,0,-2,348,328,8
0,465,0,-2,345,329,8
0,466,0,-2,346,328,8
0,467,0,-2,346,329,8
0,468,0,-2,348,332,8
0,469,0,-2,346,328,8
0,470,0,-2,348,327,8
0,471,0,-2,346,346,8
0,472,0,-2,347,328,8
0,473,0,-2,347,329,8
0,474,0,-2,347,329,8
0,475,0,-2,346,328,8
0,476,0,-2,347,328,8
0,477,0,-2,348,328,8
0,478,0,-2,348,328,8
0,479,0,-2,346,328,8
0,480,0,-2,346,328,8
0,481,0,-2,345,329,9
0,482,0,-2,345,328,9
0,483,0,-2,347,328,9
0,484,0,-2,346,328,9
0,485,0,-2,346,329,9
0,486,0,-2,344,330,9
0,487,0,-2,344,330,9
0,488,0,-2,345,328,9
0,489,0,-2,346,327,9
0,490,0,-2,345,328,9
0,491,0,-2,346,328,9
0,492,0,-2,344,329,9
0,493,0,-2,345,329,9
0,494,0,-2,344,328,9
0,495,0,-2,345,328,9
0,496,0,-2,346,328,9
0,497,0,-2,345,328,9
0,498,0,-2,345,330,9
0,499,0,-2,344,335,9
0,500,0,-2,346,331,9
0,501,0,-2,344,328,9
0,502,0,-2,346,329,9
0,503,0,-2,345,328,9
0,504,0,-2,346,329,9
0,505,0,-2,344,332,9
0,506,0,-2,365,335,9
0,507,0,-2,344,329,9
0,508,0,-2,345,328,9
0,509,0,-2,346,328,9
0,510,0,-2,345,328,9
0,511,0,-2,346,334,9
0,512,0,-2,346,330,9
0,513,0,-2,345,329,9
0,514,0,-2,344,329,9
0,515,0,-2,346,327,9
0,516,0,-2,345,328,9
0,517,0,-2,348,328,9
0,518,0,-2,345,330,9
0,519,0,-2,345,329,9
0,520,0,-2,344,330,9
0,521,0,-2,345,329,9
0,522,0,-2,347,329,9
0,523,0,-2,346,328,9
0,524,0,-2,345,329,9
0,525,0,-2,345,330,9
0,526,0,-2,344,330,9
0,527,0,-2,344,328,9
0,528,0,-2,346,327,9
0,529,0,-2,346,328,9
0,530,0,-2,346,329,9
0,531,0,-2,345,329,9
0,532,0,-2,344,329,9
0,533,0,-2,345,330,9
0,534,0,-2,346,328,9
0,535,0,-2,347,328,9
0,536,0,-2,345,328,9
0,537,0,-2,345,329,9
0,538,0,-2,344,330,9
0,539,0,-2,346,330,9
0,540,0,-2,344,328,9
0,541,0,-2,365,328,9
0,542,0,-2,345,328,9
0,543,0,-2,345,328,9
0,544,0,-2,344,329,9
0,545,0,-2,346,329,9
0,546,0,-2,345,329,9
0,547,0,-2,344,328,9
0,548,0,-2,346,328,9
0,549,0,-2,346,328,9
0,550,0,-2,346,328,9
0,551,0,-2,343,329,9
0,552,0,-2,344,339,9
0,553,0,-2,344,332,9
0,554,0,-2,345,328,9
0,555,0,-2,345,328,9
0,556,0,-2,347,329,9
0,557,0,-2,346,329,9
0,558,0,-2,344,331,9
0,559,0,-2,343,330,9
0,560,0,-2,346,329,9
0,561,0,-2,345,328,9
0,562,0,-2,345,328,9
0,563,0,-2,345,327,9
0,564,0,-2,343,329,9
0,565,0,-2,345,330,9
0,566,0,-2,345,329,9
0,567,0,-2,345,328,9
0,568,0,-2,345,327,9
0,569,0,-2,345,328,9
0,570,0,-2,344,328,9
0,571,0,-2,344,330,9
0,572,0,-2,345,328,9
0,573,0,-2,346,328,9
0,574,0,-2,345,328,9
0,575,0,-2,346,328,9
0,576,0,-2,368,328,9
0,577,0,-2,344,330,9
0,578,0,-2,345,330,9
0,579,0,-2,345,330,9
0,580,0,-2,343,328,9
0,581,0,-2,347,328,9
0,582,0,-2,346,328,9
0,583,0,-2,345,328,9
0,584,0,-2,344,329,9
0,585,0,-2,345,329,9
0,586,0,-2,344,328,9
0,587,0,-2,345,327,9
0,588,0,-2,347,328,9
0,589,0,-2,346,328,9
0,590,0,-2,345,330,9
0,591,0,-2,344,329,9
0,592,0,-2,343,329,9
0,593,0,-2,344,327,9
0,594,0,-2,346,328,9
0,595,0,-2,345,328,9
0,596,0,-2,346,327,9
0,597,0,-2,344,328,9
0,598,0,-2,345,329,9
0,599,0,-2,344,329,9
0,600,0,-2,346,329,9
0,601,0,-2,346,329,9
0,602,0,-2,346,328,9
0,603,0,-2,344,329,9
0,604,0,-2,343,330,9
0,605,0,-2,346,329,9
0,606,0,-2,345,329,9
0,607,0,-2,346,329,9
0,608,0,-2,345,328,9
0,609,0,-2,345,328,9
0,610,0,-2,345,349,9
0,611,0,-2,346,329,9
0,612,0,-2,343,329,9
0,613,0,-2,345,328,9
0,614,0,-2,346,328,9
0,615,0,-2,347,328,9
0,616,0,-2,343,328,9
0,617,0,-2,345,329,9
0,618,0,-2,344,330,9
0,619,0,-2,345,328,9
0,620,0,-2,345,327,9
0,621,0,-2,348,329,9
0,622,0,-2,345,328,9
0,623,0,-2,343,328,9
0,624,0,-2,345,329,9
0,625,0,-2,344,329,9
0,626,0,-2,347,327,9
0,627,0,-2,344,328,9
0,628,0,-2,347,329,9
0,629,0,-2,345,329,9
0,630,0,-2,345,329,9
0,631,0,-2,344,329,9
0,632,0,-2,345,327,9
0,633,0,-2,344,327,9
0,634,0,-2,346,328,9
0,635,0,-2,345,329,9
0,636,0,-2,345,329,9
0,637,0,-2,345,329,9
0,638,0,-2,344,329,9
0,639,0,-2,343,327,9
0,640,0,-2,346,328,9
0,641,0,-2,344,327,9
0,642,0,-2,345,329,9
0,643,0,-2,343,330,9
0,644,0,-2,344,330,9
0,645,0,-2,345,361,9
0,646,0,-2,347,328,9
0,647,0,-2,347,327,9
0,648,0,-2,346,329,9
0,649,0,-2,130,327,9
0,650,0,-2,261,457,9
0,651,0,-2,260,454,9
0,652,0,-2,260,455,9
0,653,0,-2,262,454,9
0,654,0,-2,260,455,9
0,655,0,-2,259,455,9
0,656,0,-2,259,455,9
0,657,0,-2,258,455,9
0,658,0,-2,258,459,9
0,659,0,-2,259,454,9
0,660,0,-2,257,453,9
0,661,0,-2,260,453,9
0,662,0,-2,260,454,9
0,663,0,-2,260,458,9
0,664,0,-2,259,457,9
0,665,0,-2,260,455,9
0,666,0,-2,259,456,9
0,667,0,-2,259,455,9
0,668,0,-2,259,456,9
0,669,0,-2,260,459,9
0,670,0,-2,258,454,9
0,671,0,-2,260,454,9
0,672,0,-2,260,453,9
0,673,0,-2,259,454,9
0,674,0,-2,260,456,9
0,675,0,-2,259,456,9
0,676,0,-2,259,456,9
0,677,0,-2,260,456,9
0,678,0,-2,259,455,9
0,679,0,-2,275,456,9
0,680,0,-2,259,455,9
0,681,0,-2,260,453,9
0,682,0,-2,262,455,9
0,683,0,-2,260,454,9
0,684,0,-2,260,455,9
0,685,0,-2,259,455,9
0,686,0,-2,262,455,9
0,687,0,-2,258,455,9
0,688,0,-2,260,455,9
0,689,0,-2,258,455,9
0,690,0,-2,259,454,9
0,691,0,-2,261,455,9
0,692,0,-2,259,454,9
0,693,0,-2,261,454,9
0,694,0,-2,257,456,9
0,695,0,-2,259,455,9
0,696,0,-2,259,456,9
0,697,0,-2,259,455,9
0,698,0,-2,258,460,9
0,699,0,-2,261,456,9
0,700,0,-2,259,453,9
0,701,0,-2,260,455,9
0,702,0,-2,262,454,9
0,703,0,-2,261,455,9
0,704,0,-2,259,456,9
0,705,0,-2,259,456,9
0,706,0,-2,258,457,9
0,707,0,-2,259,456,9
0,708,0,-2,259,456,9
0,709,0,-2,258,454,9
0,710,0,-2,259,455,9
0,711,0,-2,260,455,9
0,712,0,-2,278,454,9
0,713,0,-2,260,454,9
0,714,0,-2,258,455,9
0,715,0,-2,259,455,9
0,716,0,-2,260,468,9
0,717,0,-2,262,455,9
0,718,0,-2,258,455,9
0,719,0,-2,258,456,9
0,720,0,-2,261,454,9
0,721,0,-2,260,454,9
0,722,0,-2,260,454,9
0,723,0,-2,261,454,9
0,724,0,-2,260,457,9
0,725,0,-2,260,456,9
0,726,0,-2,259,455,9
0,727,0,-2,259,455,9
0,728,0,-2,259,456,9
0,729,0,-2,258,455,9
0,730,0,-2,260,455,9
0,731,0,-2,259,455,9
0,732,0,-2,261,454,9
0,733,0,-2,261,455,9
0,734,0,-2,260,456,9
0,735,0,-2,258,457,9
0,736,0,-2,261,455,9
0,737,0,-2,259,456,9
0,738,0,-2,259,455,9
0,739,0,-2,258,454,9
0,740,0,-2,261,454,9
0,741,0,-2,261,454,9
0,742,0,-2,263,454,9
0,743,0,-2,259,454,9
0,744,0,-2,258,474,9
0,745,0,-2,260,455,9
0,746,0,-2,260,458,9
0,747,0,-2,259,455,9
0,748,0,-2,260,456,9
0,749,0,-2,260,454,9
0,750,0,-2,258,454,9
0,751,0,-2,260,454,9
0,752,0,-2,260,454,9
0,753,0,-2,262,454,9
0,754,0,-2,260,455,9
0,755,0,-2,259,456,9
0,756,0,-2,258,457,9
0,757,0,-2,259,456,9
0,758,0,-2,258,456,9
0,759,0,-2,260,454,9
0,760,0,-2,260,455,9
0,761,0,-2,262,454,9
0,762,0,-2,259,454,9
0,763,0,-2,260,455,9
0,764,0,-2,259,455,9
0,765,0,-2,260,455,9
0,766,0,-2,258,455,9
0,767,0,-2,259,458,9
0,768,0,-2,257,454,9
0,769,0,-2,259,454,9
0,770,0,-2,259,454,9
0,771,0,-2,260,453,9
0,772,0,-2,260,453,9
0,773,0,-2,258,455,9
0,774,0,-2,259,456,9
0,775,0,-2,259,455,9
0,776,0,-2,261,456,9
0,777,0,-2,258,474,9
0,778,0,-2,260,455,9
0,779,0,-2,258,454,9
0,780,0,-2,259,454,9
0,781,0,-2,259,454,9
0,782,0,-2,260,456,9
0,783,0,-2,258,455,9
0,784,0,-2,260,456,9
0,785,0,-2,259,456,9
0,786,0,-2,259,456,9
0,787,0,-2,257,456,9
0,788,0,-2,258,456,9
0,789,0,-2,259,454,9
0,790,0,-2,263,455,9
0,791,0,-2,259,454,9
0,792,0,-2,258,455,9
0,793,0,-2,261,456,9
0,794,0,-2,259,456,9
0,795,0,-2,259,456,9
0,796,0,-2,259,457,9
0,797,0,-2,260,454,9
0,798,0,-2,258,454,9
0,799,0,-2,259,454,9
0,800,0,-2,259,454,9
0,801,0,-2,260,454,9
0,802,0,-2,262,454,9
0,803,0,-2,259,456,9
0,804,0,-2,259,457,9
0,805,0,-2,259,456,9
0,806,0,-2,258,456,9
0,807,0,-2,259,456,9
0,808,0,-2,259,454,9
0,809,0,-2,260,454,9
0,810,0,-2,261,473,9
0,811,0,-2,264,454,9
0,812,0,-2,259,455,9
0,813,0,-2,259,457,9
0,814,0,-2,260,455,9
0,815,0,-2,259,456,9
0,816,0,-2,257,456,9
0,817,0,-2,258,456,9
0,818,0,-2,258,456,9
0,819,0,-2,261,454,9
0,820,0,-2,260,455,9
0,821,0,-2,262,455,9
0,822,0,-2,259,456,9
0,823,0,-2,258,456,9
0,824,0,-2,259,455,9
0,825,0,-2,258,455,9
0,826,0,-2,260,456,9
0,827,0,-2,260,455,9
0,828,0,-2,259,455,9
0,829,0,-2,260,453,9
0,830,0,-2,261,454,9
0,831,0,-2,260,454,9
0,832,0,-2,259,455,9
0,833,0,-2,258,456,9
0,834,0,-2,262,459,9
0,835,0,-2,261,456,9
0,836,0,-2,258,457,9
0,837,0,-2,258,461,9
0,838,0,-2,259,454,9
0,839,0,-2,260,454,9
0,840,0,-2,261,455,9
0,841,0,-2,259,455,9
0,842,0,-2,259,457,9
0,843,0,-2,257,475,9
0,844,0,-2,262,456,9
0,845,0,-2,259,455,9
0,846,0,-2,259,455,9
0,847,0,-2,258,455,9
0,848,0,-2,259,454,9
0,849,0,-2,262,455,9
0,850,0,-2,259,454,9
0,851,0,-2,280,455,9
0,852,0,-2,259,455,9
0,853,0,-2,259,456,9
0,854,0,-2,259,457,9
0,855,0,-2,260,456,9
0,856,0,-2,259,459,9
0,857,0,-2,259,456,9
0,858,0,-2,258,454,9
0,859,0,-2,261,454,9
0,860,0,-2,260,456,9
0,861,0,-2,260,453,9
0,862,0,-2,258,454,9
0,863,0,-2,260,455,9
0,864,0,-2,258,455,9
0,865,0,-2,258,456,9
0,866,0,-2,258,456,9
0,867,0,-2,258,455,9
0,868,0,-2,258,454,9
0,869,0,-2,261,455,9
0,870,0,-2,260,454,9
0,871,0,-2,260,455,9
0,872,0,-2,258,456,9
0,873,0,-2,258,455,9
0,874,0,-2,261,466,9
0,875,0,-2,257,456,9
0,876,0,-2,269,468,9
0,877,0,-2,257,455,9
0,878,0,-2,261,454,9
0,879,0,-2,260,454,9
0,880,0,-2,261,458,9
0,881,0,-2,259,458,9
0,882,0,-2,258,456,9
0,883,0,-2,259,455,9
0,884,0,-2,258,457,9
0,885,0,-2,258,455,9
0,886,0,-2,260,455,9
0,887,0,-2,258,454,9
0,888,0,-2,260,454,9
0,889,0,-2,259,453,9
0,890,0,-2,260,454,9
0,891,0,-2,261,454,9
0,892,0,-2,258,455,9
0,893,0,-2,259,457,9
0,894,0,-2,260,456,9
0,895,0,-2,258,456,9
0,896,0,-2,258,456,9
0,897,0,-2,257,455,9
0,898,0,-2,259,454,9
0,899,0,-2,260,454,9
0,900,0,-2,261,454,9
0,901,0,-2,259,454,9
0,902,0,-2,258,455,9
0,903,0,-2,260,455,9
0,904,0,-2,258,455,9
0,905,0,-2,260,456,9
0,906,0,-2,258,455,9
0,907,0,-2,260,454,9
0,908,0,-2,260,454,9
0,909,0,-2,286,454,9
0,910,0,-2,261,454,9
0,911,0,-2,259,455,9
0,912,0,-2,257,455,9
0,913,0,-2,258,456,9
0,914,0,-2,258,457,9
0,915,0,-2,259,456,9
0,916,0,-2,260,470,10
0,917,0,-2,263,470,10
0,918,0,-2,263,467,10
0,919,0,-2,262,469,10
0,920,0,-2,265,469,10
0,921,0,-2,262,469,10
0,922,0,-2,263,469,10
0,923,0,-2,260,470,10
0,924,0,-2,262,470,10
0,925,0,-2,262,470,10
0,926,0,-2,263,470,10
0,927,0,-2,261,469,10
0,928,0,-2,264,469,10
0,929,0,-2,261,470,10
